id,user_id,schedule,drinking,smoking,workout_freq,diet,pet_view,spending_view,saving_view,travel_pref,interests,personality,created_at,updated_at
41,41,early,occasionally,often,none,vegan,allergic,balanced,balanced,"[""mountain"", ""island""]","[""yoga"", ""football""]",ISTP,2025-06-25 11:18:51,2025-06-25 11:18:51
42,42,early,never,often,none,vegetarian,ok,balanced,aggressive,"[""citywalk"", ""roadtrip"", ""sea""]","[""boardgame"", ""cooking""]",ESFJ,2025-06-19 11:18:51,2025-06-19 11:18:51
43,43,late,occasionally,never,none,vegan,ok,frugal,aggressive,"[""sea""]","[""movie"", ""yoga"", ""hiking"", ""boardgame""]",ENFP,2025-07-23 11:18:51,2025-07-23 11:18:51
44,44,normal,often,often,3+weekly,vegetarian,reject,luxury,conservative,"[""roadtrip""]","[""hiking"", ""gaming"", ""basketball"", ""running"", ""music"", ""yoga""]",ENTP,2025-06-28 11:18:51,2025-06-28 11:18:51
45,45,normal,never,never,none,normal,love,luxury,aggressive,"[""island"", ""museum""]","[""gaming"", ""music"", ""football"", ""running"", ""photography"", ""basketball""]",ESFJ,2025-07-20 11:18:51,2025-07-20 11:18:51
46,46,early,never,occasionally,none,vegetarian,love,frugal,aggressive,"[""mountain"", ""desert"", ""roadtrip""]","[""football"", ""movie""]",ISFJ,2025-06-20 11:18:51,2025-06-20 11:18:51
47,47,early,never,occasionally,3+weekly,keto,allergic,balanced,balanced,"[""desert""]","[""boardgame"", ""yoga"", ""coding""]",ENFP,2025-06-14 11:18:51,2025-06-14 11:18:51
48,48,early,often,occasionally,3+weekly,normal,love,balanced,aggressive,"[""sea""]","[""gaming"", ""running"", ""boardgame"", ""yoga"", ""basketball""]",INTJ,2025-06-23 11:18:51,2025-06-23 11:18:51
49,49,normal,occasionally,often,daily,keto,allergic,luxury,balanced,"[""island"", ""roadtrip"", ""desert""]","[""football"", ""travel"", ""running"", ""gaming"", ""music"", ""boardgame""]",INTJ,2025-07-17 11:18:51,2025-07-17 11:18:51
50,50,early,occasionally,never,daily,normal,love,balanced,conservative,"[""sea""]","[""football"", ""running""]",ISFJ,2025-06-26 11:18:51,2025-06-26 11:18:51
51,51,late,never,never,weekly,vegetarian,ok,frugal,aggressive,"[""roadtrip"", ""island""]","[""photography"", ""reading"", ""hiking"", ""coding"", ""cooking"", ""yoga""]",ENTP,2025-08-12 11:18:51,2025-08-12 11:18:51
52,52,late,never,often,weekly,keto,reject,luxury,balanced,"[""mountain"", ""citywalk"", ""desert""]","[""football"", ""photography"", ""basketball""]",,2025-07-24 11:18:51,2025-07-24 11:18:51
53,53,late,often,often,weekly,vegetarian,allergic,balanced,balanced,"[""sea"", ""roadtrip""]","[""cooking"", ""photography"", ""boardgame"", ""movie"", ""music"", ""football""]",ESFJ,2025-08-01 11:18:51,2025-08-01 11:18:51
54,54,early,occasionally,never,none,normal,love,frugal,conservative,"[""mountain"", ""desert"", ""citywalk""]","[""music"", ""hiking"", ""running"", ""photography"", ""boardgame""]",ENTP,2025-08-30 11:18:51,2025-08-30 11:18:51
55,55,late,often,often,daily,keto,ok,frugal,conservative,"[""mountain""]","[""football"", ""coding""]",ISFJ,2025-09-07 11:18:51,2025-09-07 11:18:51
56,56,late,occasionally,occasionally,none,keto,reject,frugal,conservative,"[""island"", ""desert"", ""sea""]","[""reading"", ""basketball""]",ENFP,2025-08-18 11:18:51,2025-08-18 11:18:51
57,57,late,never,often,weekly,vegetarian,ok,luxury,aggressive,"[""desert"", ""museum"", ""island""]","[""reading"", ""hiking""]",ISTP,2025-08-24 11:18:51,2025-08-24 11:18:51
58,58,early,occasionally,never,weekly,normal,reject,balanced,aggressive,"[""island"", ""roadtrip"", ""mountain""]","[""travel"", ""boardgame"", ""gaming"", ""music""]",,2025-06-26 11:18:51,2025-06-26 11:18:51
59,59,late,occasionally,occasionally,none,vegan,ok,frugal,balanced,"[""citywalk"", ""mountain"", ""roadtrip""]","[""reading"", ""photography""]",ISFJ,2025-07-04 11:18:51,2025-07-04 11:18:51
60,60,early,never,often,daily,vegan,allergic,balanced,conservative,"[""desert"", ""museum""]","[""music"", ""reading""]",ISFJ,2025-08-09 11:18:51,2025-08-09 11:18:51
61,61,early,occasionally,often,weekly,normal,ok,luxury,balanced,"[""island""]","[""yoga"", ""gaming"", ""football"", ""travel"", ""running""]",ENTP,2025-06-26 11:18:51,2025-06-26 11:18:51
62,62,late,often,often,3+weekly,vegetarian,allergic,frugal,conservative,"[""mountain"", ""desert"", ""citywalk""]","[""movie"", ""travel""]",INTJ,2025-07-02 11:18:51,2025-07-02 11:18:51
63,63,late,never,never,weekly,halal,allergic,luxury,aggressive,"[""citywalk"", ""sea"", ""museum""]","[""gaming"", ""basketball"", ""photography"", ""music""]",ENFP,2025-09-03 11:18:51,2025-09-03 11:18:51
64,64,normal,occasionally,occasionally,none,normal,reject,frugal,balanced,"[""citywalk"", ""roadtrip""]","[""movie"", ""running"", ""coding"", ""travel"", ""football""]",ISFJ,2025-07-14 11:18:51,2025-07-14 11:18:51
65,65,early,often,occasionally,3+weekly,vegan,ok,luxury,aggressive,"[""island""]","[""movie"", ""yoga"", ""travel"", ""cooking"", ""basketball"", ""boardgame""]",ESFJ,2025-07-24 11:18:51,2025-07-24 11:18:51
66,66,normal,never,occasionally,daily,halal,ok,balanced,aggressive,"[""mountain""]","[""football"", ""travel"", ""photography"", ""movie"", ""basketball""]",INTJ,2025-09-07 11:18:51,2025-09-07 11:18:51
67,67,late,occasionally,often,daily,keto,allergic,balanced,balanced,"[""roadtrip"", ""mountain"", ""island""]","[""gaming"", ""boardgame"", ""photography""]",,2025-07-23 11:18:51,2025-07-23 11:18:51
68,68,early,never,never,daily,halal,reject,frugal,aggressive,"[""sea"", ""citywalk"", ""museum""]","[""coding"", ""cooking"", ""music"", ""reading"", ""travel""]",ESFJ,2025-07-05 11:18:51,2025-07-05 11:18:51
69,69,late,occasionally,often,3+weekly,vegan,allergic,luxury,conservative,"[""desert"", ""roadtrip"", ""island""]","[""travel"", ""coding"", ""music"", ""running"", ""football""]",,2025-08-17 11:18:51,2025-08-17 11:18:51
70,70,normal,often,never,daily,vegan,reject,luxury,balanced,"[""island"", ""sea""]","[""gaming"", ""boardgame"", ""yoga"", ""photography""]",INTJ,2025-08-08 11:18:51,2025-08-08 11:18:51
71,71,normal,often,occasionally,weekly,vegetarian,love,balanced,conservative,"[""mountain""]","[""coding"", ""running"", ""music"", ""gaming"", ""boardgame""]",ENFP,2025-07-30 11:18:51,2025-07-30 11:18:51
72,72,late,often,occasionally,weekly,low_carb,allergic,luxury,aggressive,"[""sea"", ""desert"", ""mountain""]","[""running"", ""coding"", ""hiking""]",ISFJ,2025-08-25 11:18:51,2025-08-25 11:18:51
73,73,early,often,never,3+weekly,vegetarian,allergic,balanced,conservative,"[""mountain"", ""sea""]","[""movie"", ""hiking""]",INTJ,2025-07-24 11:18:51,2025-07-24 11:18:51
74,74,early,never,never,weekly,low_carb,ok,luxury,conservative,"[""mountain"", ""citywalk"", ""museum""]","[""football"", ""hiking"", ""travel"", ""yoga""]",ENTP,2025-08-02 11:18:51,2025-08-02 11:18:51
75,75,early,often,often,none,vegetarian,reject,frugal,aggressive,"[""sea"", ""island"", ""desert""]","[""photography"", ""hiking"", ""cooking"", ""coding"", ""reading""]",ENFP,2025-08-03 11:18:51,2025-08-03 11:18:51
76,76,early,often,never,3+weekly,vegetarian,love,balanced,balanced,"[""museum"", ""sea"", ""mountain""]","[""reading"", ""cooking"", ""music"", ""travel"", ""basketball""]",ESFJ,2025-06-19 11:18:51,2025-06-19 11:18:51
77,77,early,often,occasionally,daily,halal,allergic,frugal,balanced,"[""citywalk""]","[""photography"", ""travel"", ""yoga"", ""boardgame""]",ESFJ,2025-08-16 11:18:51,2025-08-16 11:18:51
78,78,late,often,occasionally,weekly,halal,allergic,balanced,balanced,"[""desert""]","[""hiking"", ""cooking"", ""movie"", ""coding"", ""running"", ""football""]",ENFP,2025-07-28 11:18:51,2025-07-28 11:18:51
79,79,early,often,often,daily,vegan,allergic,frugal,balanced,"[""mountain"", ""roadtrip"", ""sea""]","[""gaming"", ""reading"", ""hiking"", ""coding"", ""music"", ""cooking""]",ISFJ,2025-06-23 11:18:51,2025-06-23 11:18:51
80,80,late,never,never,daily,low_carb,ok,frugal,aggressive,"[""sea"", ""roadtrip""]","[""basketball"", ""yoga"", ""coding"", ""cooking""]",ISFJ,2025-07-29 11:18:51,2025-07-29 11:18:51
81,81,normal,often,never,none,keto,allergic,frugal,balanced,"[""sea""]","[""travel"", ""photography"", ""yoga"", ""boardgame"", ""gaming""]",ENFP,2025-08-12 11:18:51,2025-08-12 11:18:51
82,82,early,never,occasionally,3+weekly,low_carb,reject,frugal,conservative,"[""sea"", ""island"", ""roadtrip""]","[""movie"", ""music"", ""running""]",ESFJ,2025-07-29 11:18:51,2025-07-29 11:18:51
83,83,early,occasionally,occasionally,none,vegetarian,ok,balanced,balanced,"[""desert""]","[""music"", ""basketball"", ""gaming"", ""boardgame""]",,2025-07-18 11:18:51,2025-07-18 11:18:51
84,84,late,never,occasionally,3+weekly,low_carb,love,luxury,aggressive,"[""desert""]","[""travel"", ""hiking"", ""reading"", ""football""]",ESFJ,2025-08-17 11:18:51,2025-08-17 11:18:51
85,85,early,often,often,3+weekly,halal,love,luxury,balanced,"[""island"", ""museum""]","[""photography"", ""travel"", ""coding"", ""yoga"", ""running"", ""basketball""]",,2025-09-08 11:18:51,2025-09-08 11:18:51
86,86,normal,occasionally,often,weekly,low_carb,reject,luxury,aggressive,"[""roadtrip"", ""sea"", ""mountain""]","[""boardgame"", ""coding"", ""football"", ""photography""]",ESFJ,2025-07-24 11:18:51,2025-07-24 11:18:51
87,87,early,occasionally,occasionally,weekly,low_carb,ok,balanced,balanced,"[""roadtrip"", ""desert""]","[""coding"", ""photography"", ""boardgame"", ""gaming"", ""travel"", ""running""]",ENFP,2025-08-19 11:18:51,2025-08-19 11:18:51
88,88,late,occasionally,occasionally,none,halal,ok,balanced,balanced,"[""roadtrip""]","[""movie"", ""music"", ""reading"", ""football"", ""travel"", ""coding""]",,2025-07-05 11:18:51,2025-07-05 11:18:51
89,89,early,occasionally,never,none,keto,love,frugal,conservative,"[""museum""]","[""basketball"", ""running"", ""movie"", ""gaming""]",,2025-08-17 11:18:51,2025-08-17 11:18:51
90,90,late,never,occasionally,daily,normal,allergic,luxury,balanced,"[""roadtrip"", ""desert""]","[""travel"", ""hiking"", ""gaming"", ""basketball""]",ISFJ,2025-08-13 11:18:51,2025-08-13 11:18:51
91,91,late,often,often,3+weekly,vegan,ok,luxury,conservative,"[""museum"", ""mountain""]","[""reading"", ""movie"", ""basketball"", ""music""]",ESFJ,2025-07-31 11:18:51,2025-07-31 11:18:51
92,92,normal,never,often,daily,halal,reject,frugal,conservative,"[""sea""]","[""travel"", ""boardgame""]",ENFP,2025-07-05 11:18:51,2025-07-05 11:18:51
93,93,normal,occasionally,often,none,normal,allergic,balanced,aggressive,"[""roadtrip"", ""citywalk""]","[""boardgame"", ""basketball"", ""movie"", ""reading"", ""running"", ""gaming""]",ESFJ,2025-06-28 11:18:51,2025-06-28 11:18:51
94,94,early,never,occasionally,daily,low_carb,love,balanced,conservative,"[""island"", ""citywalk""]","[""running"", ""coding"", ""boardgame"", ""basketball"", ""travel""]",ENFP,2025-07-19 11:18:51,2025-07-19 11:18:51
95,95,late,occasionally,never,weekly,halal,allergic,balanced,conservative,"[""island"", ""citywalk"", ""sea""]","[""football"", ""movie"", ""boardgame"", ""hiking"", ""gaming""]",ESFJ,2025-06-13 11:18:51,2025-06-13 11:18:51
96,96,late,never,never,none,normal,allergic,frugal,aggressive,"[""citywalk"", ""sea""]","[""hiking"", ""boardgame"", ""movie"", ""reading""]",ESFJ,2025-07-23 11:18:51,2025-07-23 11:18:51
97,97,late,never,often,daily,vegan,love,balanced,aggressive,"[""roadtrip"", ""citywalk""]","[""music"", ""travel"", ""basketball"", ""photography""]",ISFJ,2025-07-23 11:18:51,2025-07-23 11:18:51
98,98,early,never,often,weekly,keto,reject,luxury,balanced,"[""sea"", ""mountain""]","[""cooking"", ""gaming"", ""travel"", ""reading"", ""football"", ""movie""]",ENTP,2025-06-19 11:18:51,2025-06-19 11:18:51
99,99,early,occasionally,often,weekly,vegetarian,reject,luxury,balanced,"[""roadtrip"", ""mountain"", ""island""]","[""running"", ""boardgame"", ""photography"", ""football""]",INTJ,2025-08-21 11:18:51,2025-08-21 11:18:51
100,100,late,often,occasionally,weekly,keto,reject,luxury,balanced,"[""sea""]","[""basketball"", ""football"", ""reading"", ""music"", ""coding""]",ENTP,2025-08-27 11:18:51,2025-08-27 11:18:51
101,101,early,never,never,none,halal,love,luxury,aggressive,"[""island""]","[""basketball"", ""yoga"", ""hiking""]",ISTP,2025-07-28 11:18:51,2025-07-28 11:18:51
102,102,normal,occasionally,never,3+weekly,normal,love,frugal,conservative,"[""desert""]","[""movie"", ""gaming"", ""basketball""]",ISFJ,2025-08-15 11:18:51,2025-08-15 11:18:51
103,103,early,never,often,daily,halal,love,frugal,conservative,"[""island"", ""mountain"", ""citywalk""]","[""running"", ""movie"", ""basketball"", ""photography"", ""coding""]",ENFP,2025-08-01 11:18:51,2025-08-01 11:18:51
104,104,early,often,often,3+weekly,low_carb,love,frugal,conservative,"[""desert"", ""mountain""]","[""coding"", ""movie"", ""travel"", ""hiking""]",ENTP,2025-08-14 11:18:51,2025-08-14 11:18:51
105,105,normal,never,never,3+weekly,low_carb,ok,luxury,balanced,"[""citywalk"", ""island"", ""desert""]","[""yoga"", ""music"", ""basketball"", ""photography""]",,2025-08-24 11:18:51,2025-08-24 11:18:51
106,106,normal,often,never,daily,vegetarian,reject,balanced,conservative,"[""museum"", ""desert""]","[""travel"", ""hiking"", ""cooking"", ""boardgame""]",ESFJ,2025-06-16 11:18:51,2025-06-16 11:18:51
107,107,early,often,never,none,halal,allergic,balanced,aggressive,"[""museum"", ""sea""]","[""music"", ""cooking"", ""football"", ""basketball"", ""hiking"", ""running""]",INTJ,2025-07-20 11:18:51,2025-07-20 11:18:51
108,108,late,never,occasionally,3+weekly,vegan,reject,balanced,aggressive,"[""desert"", ""mountain""]","[""football"", ""gaming"", ""coding""]",ISFJ,2025-08-01 11:18:51,2025-08-01 11:18:51
109,109,late,occasionally,occasionally,weekly,halal,love,luxury,conservative,"[""island"", ""sea""]","[""gaming"", ""travel"", ""basketball"", ""running"", ""yoga""]",ESFJ,2025-07-30 11:18:51,2025-07-30 11:18:51
110,110,normal,often,often,3+weekly,low_carb,allergic,frugal,conservative,"[""desert"", ""museum""]","[""movie"", ""cooking""]",ENFP,2025-07-12 11:18:51,2025-07-12 11:18:51
111,111,late,never,never,none,keto,love,luxury,balanced,"[""citywalk""]","[""boardgame"", ""photography"", ""coding"", ""football""]",ESFJ,2025-07-03 11:18:51,2025-07-03 11:18:51
112,112,late,often,occasionally,3+weekly,keto,reject,frugal,conservative,"[""sea"", ""mountain"", ""citywalk""]","[""football"", ""travel"", ""running"", ""music"", ""cooking"", ""reading""]",ESFJ,2025-09-07 11:18:51,2025-09-07 11:18:51
113,113,normal,occasionally,occasionally,3+weekly,halal,reject,luxury,balanced,"[""desert""]","[""yoga"", ""travel""]",ISTP,2025-06-29 11:18:51,2025-06-29 11:18:51
114,114,normal,occasionally,occasionally,weekly,halal,allergic,balanced,aggressive,"[""desert"", ""island"", ""roadtrip""]","[""running"", ""coding"", ""yoga"", ""reading"", ""basketball"", ""boardgame""]",ESFJ,2025-08-24 11:18:51,2025-08-24 11:18:51
115,115,normal,often,occasionally,daily,halal,love,frugal,conservative,"[""citywalk"", ""island""]","[""travel"", ""basketball"", ""photography""]",ESFJ,2025-08-29 11:18:51,2025-08-29 11:18:51
116,116,normal,often,never,weekly,normal,reject,luxury,aggressive,"[""roadtrip"", ""sea"", ""citywalk""]","[""football"", ""photography"", ""reading"", ""coding"", ""hiking"", ""boardgame""]",ESFJ,2025-09-10 11:18:51,2025-09-10 11:18:51
117,117,late,occasionally,never,none,vegan,allergic,balanced,aggressive,"[""mountain""]","[""hiking"", ""reading"", ""running""]",ISTP,2025-08-12 11:18:51,2025-08-12 11:18:51
118,118,normal,never,often,weekly,vegetarian,reject,balanced,conservative,"[""citywalk"", ""mountain""]","[""yoga"", ""cooking"", ""travel""]",ENTP,2025-08-16 11:18:51,2025-08-16 11:18:51
119,119,early,occasionally,often,weekly,vegan,allergic,luxury,aggressive,"[""mountain""]","[""gaming"", ""basketball"", ""cooking""]",ENFP,2025-06-29 11:18:51,2025-06-29 11:18:51
120,120,late,occasionally,often,none,vegetarian,reject,frugal,balanced,"[""roadtrip""]","[""gaming"", ""cooking"", ""coding"", ""running"", ""yoga"", ""music""]",ENFP,2025-07-28 11:18:51,2025-07-28 11:18:51
121,121,normal,never,often,daily,low_carb,allergic,luxury,aggressive,"[""island"", ""sea""]","[""travel"", ""basketball"", ""coding"", ""photography"", ""movie"", ""gaming""]",ISTP,2025-08-31 11:18:51,2025-08-31 11:18:51
122,122,normal,never,occasionally,daily,keto,reject,luxury,conservative,"[""museum""]","[""basketball"", ""football"", ""boardgame"", ""hiking"", ""cooking""]",INTJ,2025-06-28 11:18:51,2025-06-28 11:18:51
123,123,late,often,occasionally,3+weekly,low_carb,allergic,frugal,aggressive,"[""roadtrip"", ""citywalk"", ""island""]","[""hiking"", ""yoga"", ""running"", ""coding""]",ESFJ,2025-07-11 11:18:51,2025-07-11 11:18:51
124,124,late,occasionally,never,weekly,vegan,ok,balanced,conservative,"[""citywalk"", ""roadtrip""]","[""photography"", ""music"", ""hiking""]",ESFJ,2025-07-31 11:18:51,2025-07-31 11:18:51
125,125,normal,never,occasionally,daily,normal,love,luxury,aggressive,"[""mountain"", ""museum""]","[""gaming"", ""cooking"", ""coding"", ""running""]",ISFJ,2025-08-31 11:18:51,2025-08-31 11:18:51
126,126,early,often,occasionally,daily,keto,allergic,frugal,conservative,"[""museum""]","[""gaming"", ""football"", ""cooking"", ""boardgame"", ""coding"", ""music""]",ISTP,2025-08-24 11:18:51,2025-08-24 11:18:51
127,127,early,occasionally,never,3+weekly,vegetarian,reject,luxury,balanced,"[""mountain""]","[""running"", ""music"", ""coding""]",ISFJ,2025-07-15 11:18:51,2025-07-15 11:18:51
128,128,normal,often,often,none,halal,love,balanced,aggressive,"[""sea""]","[""gaming"", ""yoga""]",INTJ,2025-08-09 11:18:51,2025-08-09 11:18:51
129,129,early,often,occasionally,3+weekly,halal,love,frugal,aggressive,"[""citywalk"", ""museum"", ""sea""]","[""movie"", ""music"", ""running"", ""gaming"", ""reading"", ""football""]",,2025-06-24 11:18:51,2025-06-24 11:18:51
130,130,late,often,never,daily,low_carb,reject,frugal,conservative,"[""desert"", ""island""]","[""music"", ""boardgame"", ""movie"", ""travel"", ""cooking""]",ESFJ,2025-09-05 11:18:51,2025-09-05 11:18:51
131,131,normal,never,often,none,vegan,reject,luxury,aggressive,"[""museum"", ""citywalk""]","[""travel"", ""yoga"", ""hiking"", ""reading"", ""boardgame"", ""football""]",ISTP,2025-08-23 11:18:51,2025-08-23 11:18:51
132,132,late,occasionally,never,none,low_carb,love,frugal,conservative,"[""sea"", ""island"", ""desert""]","[""running"", ""photography"", ""basketball"", ""cooking"", ""movie"", ""reading""]",ISFJ,2025-06-27 11:18:51,2025-06-27 11:18:51
133,133,early,occasionally,never,none,normal,ok,frugal,aggressive,"[""mountain"", ""roadtrip""]","[""hiking"", ""gaming""]",ISFJ,2025-07-27 11:18:51,2025-07-27 11:18:51
